phone_number,source_channel,budget_range,conversion_probability,segment
6657389943,referral,>1.5Cr,0.9146,hot
9408999946,email_campaign,>1.5Cr,0.9973,hot
9431031983,social_media,90L-1.5Cr,0.0033,cold
8366230734,paid_search,>1.5Cr,0.0133,cold
9661447739,paid_search,60L-90L,0.0467,cold
6877087278,paid_search,60L-90L,0.9362,hot
9349090764,organic_search,90L-1.5Cr,0.0036,cold
7067798217,email_campaign,<30L,0.0613,cold
6172560416,social_media,<30L,0.0188,cold
6013284733,social_media,60L-90L,0.0004,cold
8893714705,organic_search,>1.5Cr,0.0002,cold
8600961898,email_campaign,>1.5Cr,0.0088,cold
6669193756,social_media,60L-90L,0.9881,hot
8318721098,paid_search,30L-60L,0.0034,cold
7889886718,direct,90L-1.5Cr,0.0017,cold
7282664502,organic_search,30L-60L,0.9812,hot
8337378734,referral,60L-90L,0.0519,cold
9126829773,paid_search,90L-1.5Cr,0.002,cold
9948814669,social_media,30L-60L,0.0019,cold
9822361713,referral,30L-60L,0.0229,cold
7543743708,social_media,30L-60L,0.9963,hot
7114012886,email_campaign,>1.5Cr,0.9735,hot
9187315617,referral,60L-90L,0.9968,hot
6742838260,organic_search,30L-60L,0.006,cold
7330630273,organic_search,90L-1.5Cr,0.0113,cold
9340392494,organic_search,<30L,0.9835,hot
6000135646,social_media,30L-60L,0.0002,cold
8064326131,social_media,90L-1.5Cr,0.0019,cold
8302347719,paid_search,60L-90L,0.1341,cold
6886303209,referral,<30L,0.0059,cold
6755602465,social_media,60L-90L,0.0064,cold
9241730378,organic_search,<30L,0.0203,cold
6124171323,social_media,60L-90L,0.075,cold
7241191579,social_media,60L-90L,0.0151,cold
9810359730,organic_search,90L-1.5Cr,0.0016,cold
6687976117,organic_search,30L-60L,0.1496,cold
6272771965,social_media,<30L,0.0121,cold
8223455980,paid_search,60L-90L,0.0394,cold
9584769063,direct,60L-90L,0.0131,cold
6084879658,referral,<30L,0.9412,hot
7948239714,referral,<30L,0.0209,cold
8093749613,organic_search,30L-60L,0.8835,hot
7986682296,direct,90L-1.5Cr,0.0031,cold
7368726018,social_media,30L-60L,0.0008,cold
7675572790,referral,60L-90L,0.0013,cold
7144903609,paid_search,60L-90L,0.0077,cold
7012565087,email_campaign,30L-60L,0.0012,cold
8736379112,organic_search,30L-60L,0.0334,cold
7317120821,email_campaign,<30L,0.0032,cold
9997206851,paid_search,90L-1.5Cr,0.997,hot
9955270375,organic_search,30L-60L,0.0459,cold
9365587412,email_campaign,30L-60L,0.0289,cold
6268347316,email_campaign,90L-1.5Cr,0.0083,cold
9188193050,social_media,>1.5Cr,0.0011,cold
9065710889,paid_search,90L-1.5Cr,0.0003,cold
6371059976,organic_search,90L-1.5Cr,0.0021,cold
7315611968,email_campaign,60L-90L,0.0004,cold
7121126909,referral,30L-60L,0.0076,cold
6034818036,social_media,30L-60L,0.0135,cold
8932394905,email_campaign,30L-60L,0.0019,cold
9681715706,organic_search,60L-90L,0.9425,hot
9370903948,organic_search,90L-1.5Cr,0.9796,hot
8516935686,organic_search,90L-1.5Cr,0.0152,cold
8107185076,organic_search,30L-60L,0.0344,cold
6742824158,organic_search,90L-1.5Cr,0.163,cold
8485227343,social_media,<30L,0.719,hot
8595413088,paid_search,90L-1.5Cr,0.013,cold
8585178453,referral,<30L,0.0379,cold
8798593934,referral,>1.5Cr,0.0003,cold
9448535669,paid_search,>1.5Cr,0.9442,hot
6149676824,organic_search,30L-60L,0.0441,cold
7514184530,organic_search,30L-60L,0.0109,cold
7065219276,direct,90L-1.5Cr,0.0036,cold
7157723933,paid_search,90L-1.5Cr,0.0458,cold
7334415629,referral,>1.5Cr,0.0059,cold
8774133639,referral,30L-60L,0.9933,hot
9000546480,email_campaign,30L-60L,0.0217,cold
6260929177,organic_search,<30L,0.0958,cold
7181116377,email_campaign,60L-90L,0.004,cold
6681879096,referral,60L-90L,0.0019,cold
8629879086,paid_search,<30L,0.062,cold
8061202365,organic_search,90L-1.5Cr,0.0204,cold
9274622593,direct,>1.5Cr,0.0798,cold
8039989176,paid_search,<30L,0.0242,cold
8659417413,organic_search,>1.5Cr,0.04,cold
9073787084,referral,30L-60L,0.0005,cold
6743467153,referral,30L-60L,0.2957,cold
8551805712,referral,60L-90L,0.0003,cold
9830033960,direct,>1.5Cr,0.9059,hot
8034463967,organic_search,30L-60L,0.0139,cold
7460988784,organic_search,60L-90L,0.0034,cold
9038442462,referral,60L-90L,0.1368,cold
9983704825,social_media,60L-90L,0.0075,cold
8608709011,email_campaign,90L-1.5Cr,0.9646,hot
6031291985,paid_search,60L-90L,0.0072,cold
7019582479,organic_search,60L-90L,0.003,cold
9248921590,social_media,90L-1.5Cr,0.0092,cold
9191140600,paid_search,90L-1.5Cr,0.9971,hot
6455162782,paid_search,30L-60L,0.4622,warm
8416466448,social_media,30L-60L,0.0052,cold
7638029110,social_media,30L-60L,0.0045,cold
7203500766,referral,60L-90L,0.9957,hot
8561079388,referral,90L-1.5Cr,0.0112,cold
6173913615,social_media,30L-60L,0.041,cold
6191145523,referral,<30L,0.0006,cold
9192585301,social_media,>1.5Cr,0.0128,cold
6237228859,social_media,>1.5Cr,0.9702,hot
8592930513,referral,30L-60L,0.0014,cold
7369415350,paid_search,90L-1.5Cr,0.0115,cold
9228424824,paid_search,90L-1.5Cr,0.0142,cold
9401923899,referral,>1.5Cr,0.0018,cold
7846966933,direct,90L-1.5Cr,0.1183,cold
7505729625,referral,90L-1.5Cr,0.9996,hot
6301992016,direct,>1.5Cr,0.0049,cold
